product,category,region,sales,profit,quantity,date
Laptop,Electronics,North,1200,350,2,2024-01-15
Mouse,Electronics,South,45,12,10,2024-01-16
Keyboard,Electronics,East,85,25,8,2024-01-17
Monitor,Electronics,West,450,120,3,2024-01-18
Headphones,Electronics,North,150,45,5,2024-01-19
Chair,Furniture,South,300,80,2,2024-01-20
Table,Furniture,East,500,150,1,2024-01-21
Desk,Furniture,West,700,200,1,2024-01-22
Lamp,Furniture,North,75,20,4,2024-01-23
Shelf,Furniture,South,200,50,2,2024-01-24
Pen,Stationery,East,5,2,50,2024-01-25
Notebook,Stationery,West,12,4,30,2024-01-26
Marker,Stationery,North,8,3,20,2024-01-27
Folder,Stationery,South,15,5,25,2024-01-28
Stapler,Stationery,East,20,7,10,2024-01-29
Laptop,Electronics,South,1300,380,2,2024-02-01
Mouse,Electronics,North,50,14,12,2024-02-02
Keyboard,Electronics,West,90,28,9,2024-02-03
Monitor,Electronics,East,480,130,3,2024-02-04
Headphones,Electronics,South,160,48,6,2024-02-05
Chair,Furniture,North,320,85,2,2024-02-06
Table,Furniture,West,520,160,1,2024-02-07
Desk,Furniture,South,720,210,1,2024-02-08
Lamp,Furniture,East,80,22,4,2024-02-09
Shelf,Furniture,North,210,55,2,2024-02-10
Pen,Stationery,West,6,2,55,2024-02-11
Notebook,Stationery,North,14,5,35,2024-02-12
Marker,Stationery,South,9,3,22,2024-02-13
Folder,Stationery,West,16,5,28,2024-02-14
Stapler,Stationery,North,22,8,11,2024-02-15
Laptop,Electronics,East,1250,365,2,2024-03-01
Mouse,Electronics,West,48,13,11,2024-03-02
Keyboard,Electronics,North,88,26,9,2024-03-03
Monitor,Electronics,South,460,125,3,2024-03-04
Headphones,Electronics,East,155,46,5,2024-03-05
Chair,Furniture,West,310,82,2,2024-03-06
Table,Furniture,North,510,155,1,2024-03-07
Desk,Furniture,East,710,205,1,2024-03-08
Lamp,Furniture,South,78,21,4,2024-03-09
Shelf,Furniture,West,205,52,2,2024-03-10
Pen,Stationery,North,5,2,52,2024-03-11
Notebook,Stationery,East,13,4,32,2024-03-12
Marker,Stationery,West,8,3,21,2024-03-13
Folder,Stationery,North,15,5,26,2024-03-14
Stapler,Stationery,South,21,7,10,2024-03-15
